"General configuration","Algemene Configuratie"
"Use: {{block type="ekomisnippets/snippets" name="ekomisnippets" template="magmodules/ekomisnippets/block.phtml"}} to call the block on the homepage","Gebruik: {{block type="ekomisnippets/snippets" name="ekomisnippets" template="magmodules/ekomisnippets/block.phtml"}} to call the block on the homepage"
"API CREDENTIALS","API Gegevens"
"API ID","API ID"
"API Key","API sleutel"
"DESIGN","Ontwerp"
"Shopname","Winkelnaam"
"Show Link to Ekomi","Toon link naar Ekomi"
"Ekomi Link","Ekomi Link"
"Show Stars","Toon sterren"
"Rating","Beoordeeld"
"based on","gebasseerd op"
"customer reviews on","klant beoordelingen"
